y_hold_out,y_pred_holdout
0,0.012793489
0,0.017897732
0,0.012793489
1,0.066946538
0,0.021128811
0,0.02909867
0,0.012793489
0,0.036885781
1,0.877115912
0,0.012793489
0,0.02909867
0,0.013751535
0,0.040403648
0,0.036662654
0,0.012793489
0,0.021128811
0,0.038529099
0,0.018590142
0,0.012793489
0,0.02909867
0,0.012793489
0,0.012793489
0,0.018590142
0,0.012793489
1,0.020510137
0,0.013733907
0,0.038529099
0,0.012793489
0,0.012793489
0,0.012793489
0,0.012793489
0,0.012793489
0,0.017754694
0,0.012714176
0,0.029567958
0,0.012793489
0,0.012793489
0,0.012793489
0,0.017754694
0,0.029567958
0,0.012793489
0,0.012793489
0,0.012793489
0,0.012793489
1,0.877115912
1,0.877115912
0,0.038222341
0,0.017754694
0,0.012793489
0,0.018044433
0,0.012793489
0,0.02909867
0,0.012793489
0,0.012793489
0,0.017754694
0,0.012793489
0,0.03608495
0,0.021435162
0,0.012793489
1,0.877115912
0,0.04292358
0,0.029902726
0,0.036885781
0,0.042250771
0,0.012793489
0,0.012793489
0,0.012793489
0,0.012793489
0,0.012793489
0,0.012793489
0,0.017754694
0,0.012793489
0,0.012793489
0,0.021128811
0,0.013751535
0,0.012793489
0,0.012793489
0,0.012793489
0,0.012793489
0,0.012793489
0,0.012793489
0,0.018044433
0,0.012793489
0,0.020510137
0,0.012793489
0,0.039451934
1,0.038529099
1,0.877115912
0,0.012793489
0,0.02909867
0,0.038529099
0,0.012793489
0,0.018044433
0,0.012793489
0,0.012793489
0,0.017754694
0,0.012793489
0,0.038339682
0,0.012793489
0,0.017754694
0,0.018044433
0,0.012793489
0,0.017754694
0,0.018044433
0,0.064103562
0,0.012793489
0,0.018044433
0,0.018044433
0,0.013751535
0,0.012793489
0,0.012793489
0,0.020057435
0,0.012793489
0,0.017754694
0,0.106938528
0,0.018044433
0,0.018044433
0,0.037923143
0,0.012793489
0,0.017754694
0,0.012793489
0,0.012714176
0,0.036885781
0,0.065768052
1,0.877115912
0,0.012793489
0,0.012793489
0,0.04343497
0,0.012793489
0,0.03659161
0,0.038529099
0,0.012793489
0,0.024784375
0,0.020181621
0,0.044826589
0,0.064103562
0,0.030930232
0,0.018590142
0,0.038529099
0,0.017754694
0,0.04371236
0,0.012793489
0,0.012793489
0,0.012793489
0,0.012793489
0,0.012793489
0,0.037693986
0,0.012793489
0,0.018044433
0,0.012793489
0,0.029567958
0,0.039160633
0,0.018044433
0,0.012793489
0,0.012793489
0,0.038529099
0,0.012793489
0,0.030930232
0,0.012793489
0,0.012793489
0,0.017754694
